Year,Country Name Normalized,Axe1,Axe2,Total greenhouse gas emissions
2019,azerbaijan,0.009605151054494741,-0.007669553175865007,-0.009634669020809714
2013,bangladesh,0.01100443474646638,-0.012366041425948852,-0.03998985884697486
2014,bangladesh,0.010980533245626074,-0.0016273547438401667,-0.03977532716112522
2015,bangladesh,0.011041414342761251,-0.003944304160096783,-0.039462029076624335
2016,bangladesh,0.010738240806479168,-0.008518682546743163,-0.03924048434822625
2017,bangladesh,0.010363628800805802,-0.014234706199512236,-0.03880431557527263
2018,bangladesh,0.010390163486655684,-0.008129766015583276,-0.03867577164172121
2019,bangladesh,0.010148983124881994,-1.9101321792927846e-06,-0.03862673412889254
2020,bangladesh,0.010723640794060078,-0.0117472047652107,-0.038902233566352154
2014,belarus,0.012846899884679536,0.035613353857893514,0.0210466968635603
2015,belarus,0.012841819806775874,0.032520561956215346,0.01748050181318439
2016,belarus,0.012792185620748667,0.033285886942005495,0.016818605764324708
2017,belarus,0.012728284637546524,0.03453441565510507,0.01819923377253702
2013,belgium,0.007087086043590623,0.060627419673235934,0.032497585289164646
2014,belgium,0.006805463107693117,0.06046271077647423,0.027812961916607985
2015,belgium,0.007038872983833039,0.059721684286467486,0.030346356607704274
2016,belgium,0.006881117370626513,0.05997215049872841,0.029321867938087866
2017,belgium,0.006584294246973977,0.06082581660324082,0.027754861793824005
2019,belgium,0.00665856155175712,0.05936109543421156,0.026978826448141837
2020,belgium,0.008889307392638867,0.059787596631582805,0.02177807715375836
2013,bolivia,0.012143346341718628,-0.012530951439554707,-0.019517288930932932
2014,bolivia,0.01175955595807632,-0.021712461633148786,-0.01930579743125302
2015,bolivia,0.011897784858005479,-0.010064676195525174,-0.01914011938992537
2016,bolivia,0.011839685781632135,-0.013354961237209353,-0.018477987642080487
2017,bolivia,0.011625544869970611,-0.02258640303310843,-0.018531656531030786
2018,bolivia,0.011714293657977777,-0.012206402805265148,-0.018571771158694003
2019,bolivia,0.01175336694401787,-0.01978555661780536,-0.018454490417518052
2020,bolivia,0.01210665073233642,-0.017867198022973235,-0.02074487853838267
2013,botswana,0.012514730381467304,-0.023252405399950223,-0.011670656642886973
2014,botswana,0.012525233419347255,-0.023273097643151146,-0.00842435643927478
2017,botswana,0.012595171847735717,-0.01814070398787637,-0.010634304322132264
2018,botswana,0.012643427596452192,-0.013956277135705387,-0.00807931003053894
2019,botswana,0.012627410542684925,-0.015553026108460368,-0.012523660807508129
2013,brazil,-0.017741449099783327,-0.011187076214284317,-0.005352493581759239
2014,brazil,-0.018071231576436534,-0.011040524342292147,-0.004555136863580389
2015,brazil,-0.016022657040193275,-0.0032921337664223076,-0.005469593459995135
2016,brazil,-0.01409471899799097,-0.011919082327905502,-0.006662322321157884
2017,brazil,-0.015056665734152399,-0.00015899750304225905,-0.006584670111985392
2018,brazil,-0.015824350187935626,0.0006280370422229816,-0.00767068587934937
2019,brazil,-0.014551821713319906,0.0004600047534026847,-0.00779569576628126
