Year,Nombre de passagers,Country Name Normalized,Departs de Transporteur,fret(TonnesMbyKm),Total annual CO₂ emissions from aviation,Carburant utilise,PIB
2015,93129.0,guatemala,3012.0,0.45552,198657.73,32860.41,62186064718.7424
2016,111830.0,guatemala,3102.0,0.63203,209058.88,30499.15,66053403469.0024
2017,155524.0,guatemala,3577.0,0.546373,217886.67,31067.09,71653754066.2763
2018,145795.0,guatemala,3205.0,0.107366,240569.1,34864.76,73328365862.4329
2019,107350.0,guatemala,2623.0,0.0273,281211.47,35708.41,77172317258.6478
2020,25217.454,guatemala,673.09,0.000643636,114245.164,30862.32,77719464220.73
2013,372972.0,honduras,26796.0,1.97274,128221.914,42514.35,18499729214.904
2014,239124.0,honduras,24216.0,0.851628,126417.266,50167.94,19756533971.8698
2015,276689.0,honduras,24813.0,0.50237232,122458.49,45206.71,20979791685.416
2016,275587.0,honduras,24315.0,0.399566257,123900.0,46696.94,21717604952.1835
2017,248964.0,honduras,9482.0,0.229947,135071.98,46357.38,23136247990.5977
2018,411989.0,honduras,14832.0,0.44987,138282.02,42997.57,24067750760.499
2019,321243.0,honduras,13146.0,1.149492,162251.64,43687.18,24882225741.8119
2018,31226848.0,hungary,183541.0,0.0,945409.3,8725.36,160565642983.587
2013,2602714.0,iceland,26643.0,99.153358,452656.78,101940.77,16125060515.3117
2014,3035882.7791066,iceland,28979.0,96.01941,536320.25,116881.7,17867662177.8911
2015,4134980.0,iceland,35558.0,107.696809,645138.25,98523.37,17517210519.0912
2016,5710834.0,iceland,41022.0,128.008190221,901016.2,116844.0,20793168030.9524
2017,7242611.0,iceland,50389.0,166.75235,1154099.1,110275.45,24728285177.4603
2018,7819740.55998243,iceland,54653.3025910987,163.646108143,1309311.9,106881.82,26260850582.0687
2019,4656017.0,iceland,35823.0,138.653502,1205579.8,114631.69,24681343649.2952
2020,903927.0,iceland,13594.0,135.059286,298406.84,113720.13,21629953194.0659
2013,75589071.0,india,689094.0,1733.76172,14596976.0,141550.08,1856721507621.58
2014,82718882.88,india,724541.12,1851.32674,15258393.0,133424.23,2039126479154.52
2015,98927860.0,india,787998.0,1833.847614,16293406.0,160978.58,2103588360044.94
2016,119577835.0,india,917625.0,1893.8815,18413726.0,158726.92,2294796885663.16
2017,139752424.0,india,1029426.0,2407.098107,20646592.0,154903.95,2651474262755.45
2018,164035637.545,india,1200111.363,2703.96417383,23073864.0,148618.68,2702929641648.74
2019,167499116.0,india,1209803.0,1938.232596,22514864.0,154255.32,2835606256558.19
2020,68959633.0,india,583142.0,875.122843,10591444.0,156434.92,2674851578587.27
2013,81721356.0,indonesia,576000.0,768.23502,10187038.0,60589.36,912524136718.018
2014,85215879.5097387,indonesia,675005.895378656,902.116486410853,11131188.0,60362.9,890814755511.014
2015,90095131.0,indonesia,682389.0,758.705163350469,12085634.0,58783.15,860854232717.718
2016,99274010.0,indonesia,823735.0,974.556289,13177270.0,56353.46,931877364034.196
2017,108393123.0,indonesia,892801.0,1052.36048,14813238.0,59749.96,1015618744168.08
2018,115154100.909,indonesia,959307.381,1131.913455454,15544740.0,51769.26,1042271532953.49
2019,91323153.0,indonesia,808265.0,981.74186,12067947.0,60641.94,1119099871385.79
2020,37523686.817,indonesia,425057.604,674.799378544,5736663.0,62038.97,1059054842711.55
2013,476484.0,iraq,4332.0,10.619112,307937.62,89587.07,234637675128.645
2014,476484.0,iraq,4332.0,10.619112,554708.25,92061.07,228415656174.957
2015,2142554.0,iraq,12805.0,1.218202664,644520.0,91815.14,166774104959.102
2016,2019816.0,iraq,10579.0,0.9519664068,814362.25,98946.59,166743557747.671
2017,1591490.01,iraq,18509.38,15.587857428,678376.4,91485.16,187217660050.676
2018,4812610.0,iraq,48355.0,16.199317,709587.25,89987.46,227367469034.031
2019,5434292.0,iraq,60540.0,0.0,510951.0,96102.25,233636097800.338
2013,93408036.0,ireland,641412.0,118.253832,1791548.4,68516.41,243301556084.989
2014,98449140.0,ireland,658512.0,126.164748,1976337.6,72957.6,266787238499.03
2015,115928738.0,ireland,718059.0,138.58,2247279.5,76522.4,302391428540.035
2016,134065078.0,ireland,836293.0,118.207,2483976.5,70407.97,305733136180.907
2017,153944513.0,ireland,883323.0,154.38504,2773709.5,75200.35,348532394023.595
2018,167598633.0,ireland,935913.0,168.7117,3054874.2,70539.98,395461216460.418
2019,170161848.0,ireland,967456.0,174.5404,3202413.2,73375.6,407124824064.995
2020,54582262.0,ireland,369019.0,131.775022,1176798.0,65913.3,436555518400.451
2013,5565864.0,israel,46644.0,801.730584,2120523.0,71490.83,297634145181.876
2014,5886728.0,israel,49177.0,651.238996,2231792.0,67475.3,314090281098.682
2015,6331198.0,israel,49020.0,758.633996,2317129.8,69607.02,302722655203.465
2016,6866472.0,israel,50548.0,783.925,2452948.0,66143.39,320958936788.842
2017,6993888.0,israel,50330.0,912.898,2768328.8,66055.57,357227098125.658
2018,7404373.0,israel,53901.0,994.542,3094809.8,70613.11,375149611117.199
2019,7068458.0,israel,49276.0,889.334,3290681.5,60369.29,399651065197.871
2020,1249361.0,israel,12221.0,816.628,1086389.5,67049.65,411728563086.632
2013,27846220.0,italy,258027.0,892.930674,10086854.0,142034.4,2153225581941.46
2014,27193939.0,italy,264899.0,989.179882,10458492.0,132880.48,2173255507985.84
2015,28603919.0,italy,273462.0,945.2649666,10936170.0,151377.55,1845428048839.1
2016,29120041.0,italy,277671.0,1083.244836,11624050.0,134498.82,1887111188176.93
2017,26288001.0,italy,243811.0,1437.245062,12060305.0,147210.57,1970720904584.71
2018,27243741.0,italy,251621.0,1418.004731,13014944.0,142668.48,2099435266458.67
2019,27760301.0,italy,260599.0,1344.955151,13797322.0,154233.52,2019606796583.53
2020,7801490.0,italy,99250.0,978.76063,4511686.5,145048.31,1907481094079.23
2013,46272.0,jamaica,492.0,0.0,532224.3,113618.61,14264205152.6126
2015,92836.0,jamaica,997.0,1.396,607874.8,115377.39,14188936958.4343
2016,136744.0,jamaica,1128.0,4.506984,620830.06,121537.66,14077096714.1279
2017,151326.0,jamaica,1181.0,2.83938,649537.9,137265.63,14808985171.3441
2018,180951.272,jamaica,1215.272,4.58628,686276.5,113643.97,15730792835.5811
2013,107573000.0,japan,915542.658,7715.927,26101030.0,63817.31,5212328181166.18
2014,110547000.0,japan,927666.0,8661.758,26833504.0,71156.75,4896994405353.29
2015,114128000.0,japan,956015.0,8661.758,27395602.0,66797.89,4444930651964.18
2016,117708000.0,japan,984320.0,9360.888,27935552.0,62188.15,5003677627544.24
2017,123898000.0,japan,1035522.0,10684.574,28344838.0,72836.26,4930837369151.42
2018,126387527.0,japan,999594.0,9420.659,29116276.0,72408.48,5040880939324.86
2019,130233352.0,japan,1018436.0,8919.48,30037716.0,66981.5,5117993853016.51
2020,51131122.0,japan,659764.0,7841.508,14625888.0,71881.55,5055587093501.59
2013,3294911.0,jordan,38998.0,172.126,852174.5,66296.05,34454440140.8451
2014,3211795.0,jordan,38386.0,171.97,867918.7,62644.86,36847643521.1268
2015,3065145.0,jordan,36622.0,169.105,818739.94,64022.99,38587017887.3239
2016,3181283.0,jordan,38161.0,144.211200649,850269.0,59978.94,39892551126.7606
2017,3381677.0,jordan,36946.0,158.95506,846495.1,69896.71,41608435915.493
2018,3383805.0,jordan,36127.0,175.8386,891550.2,61317.59,43370860704.2254
2019,3478444.0,jordan,36550.0,153.56892,908919.7,58877.83,44503006338.0282
2013,4785588.0,kazakhstan,66108.0,58.199004,1067842.5,4262.12,236634603409.089
2014,4918608.0,kazakhstan,71220.0,44.61,1164055.8,4138.36,221415613595.469
2015,5081632.0,kazakhstan,72486.0,37.669008,1194497.6,4326.37,184388404706.042
2016,5007869.0,kazakhstan,73188.0,38.89446,1223728.9,4091.44,137278320084.171
2017,6903190.0,kazakhstan,83048.0,49.5077,1397944.2,4324.12,166805788827.233
2018,5920110.0,kazakhstan,66693.0,49.64306,1405344.4,4245.62,179339977690.485
2019,7656866.0,kazakhstan,89436.0,49.84901,1284657.8,4312.7,181667184854.501
2020,5282205.0,kazakhstan,55358.0,23.53957,740977.25,4009.24,171082365861.423
2013,4516500.0,kenya,98244.0,258.081012,1329224.6,91602.34,61671440407.8387
2014,4448530.52817802,kenya,90625.0,248.56658,1326594.6,94382.36,68285796514.2896
2015,4569473.0,kenya,96749.0,233.104791944,1224974.5,91461.61,70120446896.8359
2016,4848016.0,kenya,99428.0,257.576935754,1250924.4,96081.72,74815144163.8931
2017,5109576.0,kenya,117027.0,275.512276845,1357785.4,92808.58,82036510877.2599
2018,5905365.1234425,kenya,134354.484622134,295.047760350297,1454068.1,96048.14,92202979985.2863
2019,6417534.056,kenya,138192.0,320.952554616571,1133808.2,107172.06,100378436207.371
2020,1865768.0,kenya,33178.0,113.06282,568722.25,94352.98,100657505750.545
2017,3441024.0,latvia,47885.0,2.83108,306908.8,67142.69,29391059767.4259
2018,4058762.0,latvia,54356.0,4.01487,329699.0,75358.03,33247935477.3576
2019,4976410.0,latvia,61692.0,5.1637624,429453.72,74734.89,33099503950.847
2013,2744844.0,libya,32064.0,3.672312,400692.1,18354.33,75351107029.0605
2014,2391856.0,libya,26414.0,2.90666681323636,389125.9,16292.1,57372355592.022
2015,1430460.0,libya,13298.0,2.54943277629794,129587.92,17139.78,48717501321.3052
2016,1283181.0,libya,10764.0,1.37789973,140734.42,16338.83,49912073701.298
2017,1186424.0,libya,9686.0,1.236961352,129855.44,18640.37,67157452181.7738
2018,1442576.0,libya,12340.0,0.711155,103913.41,18514.77,76686029772.1483
2019,1367458.0,libya,11339.0,0.758181,78793.65,17476.36,69254496471.6938
2019,40944.0,lithuania,2506.0,0.0,341613.7,109194.79,55122066225.796
2020,35027.0,lithuania,2619.0,2.80719338834438,140523.08,106460.76,57412038533.2718
2013,47995842.0041797,malaysia,430334.457756879,2161.992838,7313033.0,75666.13,323276235524.415
2014,49673884.0,malaysia,443318.55,2193.300634,8042852.0,69982.01,338066095097.254
2015,50345820.0,malaysia,463740.0,2005.979379448,7966163.5,73271.59,301355266964.947
2016,53817353.0,malaysia,447001.0,1149.876958418,7675840.0,69853.15,301256033870.334
2017,58711937.0,malaysia,473610.67,1455.20982395985,8209377.0,78650.93,319109094160.343
2018,60481772.0,malaysia,474940.0,1359.12559,8284597.0,74890.88,358788845712.53
2019,63623130.0,malaysia,498878.0,1378.744705,8395227.0,74467.54,365177721021.516
2020,15893988.0,malaysia,167785.0,816.74595,2716705.2,81045.03,337456163961.211
2013,1318052.0,mauritius,12079.0,171.534,720057.44,73237.34,12292974141.4044
2014,1354388.0,mauritius,12131.0,192.99,757358.8,64745.67,13074129952.0532
2015,1466527.0,mauritius,12646.0,168.773,821610.25,65021.19,12007291045.6489
2016,1593666.0,mauritius,13614.0,157.239,909932.4,65764.2,12594155464.4136
2017,1674395.0,mauritius,14842.0,196.047,974948.75,68749.83,13713506130.6081
2018,1745291.0,mauritius,14940.0,233.717,984081.44,64290.03,14735695930.9727
2013,35986501.817,mexico,435792.09,677.139988908,7891406.0,17106.04,1327436290282.67
2014,39570522.0,mexico,457921.907,617.529552725,8530064.0,15088.67,1364507717614.13
2015,46966763.0,mexico,508614.0,714.003211,9291230.0,15563.72,1213294467716.88
2016,53313307.0,mexico,555984.0,760.849242,10116155.0,16154.73,1112233497452.7
2017,58537832.0,mexico,567921.0,928.83550977,10985653.0,16009.03,1190721475906.0
2018,64569640.0,mexico,583408.0,1062.987599,11804818.0,14576.32,1256300182879.73
2019,69937838.0,mexico,605632.0,1072.52473,12384220.0,17118.57,1304106203694.81
2020,34133108.0,mexico,322333.0,732.796479,7055921.0,17363.87,1121064767261.88
2013,585864.0,mongolia,4212.0,8.869308,171645.67,112559.74,12582122604.2577
2014,683254.0,mongolia,5705.56146973701,13.211711025,140009.0,125715.17,12226514668.0622
2015,529311.0,mongolia,5219.0,7.843989,104427.81,122493.6,11619892590.6941
2016,537853.0,mongolia,6009.0,8.02203384325573,103328.33,122748.4,11181350649.3573
2017,602775.0,mongolia,5277.0,8.36736,115423.586,115910.75,11480847740.736
2018,670360.0,mongolia,7777.0,7.819001,121092.64,109876.35,13178094720.4986
